hora,c1_mv,c1_soc,c2_mv,c2_soc,c3_mv,c3_soc,c4_mv,c4_soc,total_mv
16:18:33,3931,73,3814,61,3889,68,3889,68,15523
16:18:34,3930,73,3815,61,3890,69,3790,59,15425
16:18:34,3931,73,3814,61,3891,69,3785,58,15421
16:18:35,3931,73,3814,61,3890,69,3788,58,15423
16:18:35,3931,73,3815,61,3891,69,3786,58,15423
16:18:36,3931,73,3815,61,3890,69,3787,58,15423
16:18:36,3931,73,3815,61,3892,69,3786,58,15424
16:18:37,3930,73,3815,61,3890,69,3778,57,15413
16:18:37,3931,73,3815,61,3890,69,3782,58,15418
16:18:38,3930,73,3815,61,3889,68,3787,58,15421
16:18:38,3931,73,3815,61,3891,69,3789,58,15426
16:18:39,3931,73,3815,61,3891,69,3788,58,15425
16:18:39,3930,73,3815,61,3890,69,3785,58,15420
16:18:40,3930,73,3815,61,3890,69,3792,59,15427
16:18:40,3931,73,3814,61,3891,69,3794,59,15430
16:18:41,3929,72,3812,61,3887,68,3999,79,15627
16:18:41,3930,73,3813,61,3889,68,3782,58,15414
16:18:42,3930,73,3813,61,3889,68,3776,57,15408
16:18:42,3929,72,3814,61,3889,68,3775,57,15407
16:18:43,3930,73,3813,61,3889,68,3777,57,15409
16:18:43,3930,73,3815,61,3890,69,3784,58,15419
16:18:44,3930,73,3814,61,3890,69,3781,58,15415
16:18:44,3930,73,3813,61,3890,69,3782,58,15415
16:18:45,3929,72,3814,61,3889,68,3779,57,15411
16:18:45,3928,72,3812,61,3886,68,3921,72,15547
16:18:46,3929,72,3813,61,3888,68,3775,57,15405
16:18:46,3929,72,3814,61,3888,68,3780,58,15411
16:18:47,3929,72,3814,61,3890,69,3776,57,15409
16:18:47,3929,72,3814,61,3889,68,3772,57,15404
16:18:48,3930,73,3814,61,3889,68,3776,57,15409
16:18:48,3929,72,3814,61,3889,68,3779,57,15411
16:18:49,3929,72,3813,61,3889,68,3779,57,15410
16:18:49,3929,72,3814,61,3890,69,3783,58,15416
16:18:50,3929,72,3814,61,3887,68,3813,61,15443
16:18:50,3929,72,3812,61,3889,68,3774,57,15404
16:18:51,3929,72,3813,61,3889,68,3777,57,15408
16:18:51,3929,72,3814,61,3890,69,3780,58,15413
16:18:52,3929,72,3814,61,3890,69,3776,57,15409
16:18:52,3929,72,3814,61,3890,69,3769,56,15402
16:18:53,3928,72,3813,61,3888,68,3768,56,15397
16:18:53,3929,72,3813,61,3888,68,3769,56,15399
16:18:54,3929,72,3812,61,3888,68,3770,57,15399
16:18:54,3929,72,3812,61,3889,68,3768,56,15398
16:18:55,3929,72,3813,61,3890,69,3768,56,15400
16:18:55,3929,72,3812,61,3889,68,3764,56,15394
16:18:56,3928,72,3812,61,3888,68,3768,56,15396
16:18:56,3928,72,3812,61,3889,68,3770,57,15399
16:18:57,3928,72,3812,61,3889,68,3769,56,15398
16:18:57,3928,72,3812,61,3887,68,3762,56,15389
16:18:58,3928,72,3812,61,3888,68,3767,56,15395
16:18:58,3928,72,3812,61,3888,68,3767,56,15395
16:18:59,3928,72,3812,61,3888,68,3765,56,15393
16:18:59,3928,72,3813,61,3889,68,3764,56,15394
16:19:00,3928,72,3812,61,3887,68,3757,55,15384
16:19:00,3928,72,3812,61,3888,68,3767,56,15395
16:19:01,3927,72,3812,61,3887,68,3765,56,15391
16:19:01,3927,72,3811,61,3887,68,3755,55,15380
16:19:02,3928,72,3811,61,3889,68,3766,56,15394
16:19:02,3928,72,3812,61,3888,68,3768,56,15396
16:19:03,3927,72,3812,61,3887,68,3767,56,15393
16:19:03,3927,72,3812,61,3887,68,3769,56,15395
16:19:04,3927,72,3812,61,3887,68,3768,56,15394
16:19:04,3927,72,3811,61,3886,68,3772,57,15396
16:19:05,3927,72,3812,61,3888,68,3773,57,15400
16:19:05,3927,72,3811,61,3887,68,3774,57,15399
16:19:06,3927,72,3810,61,3886,68,3769,56,15392
16:19:06,3927,72,3812,61,3887,68,3767,56,15393
16:19:07,3927,72,3810,61,3886,68,3768,56,15391
16:19:07,3926,72,3810,61,3884,68,3860,66,15480
16:19:08,3926,72,3811,61,3885,68,3771,57,15393
16:19:08,3927,72,3811,61,3886,68,3765,56,15389
16:19:09,3927,72,3810,61,3886,68,3772,57,15395
16:19:09,3927,72,3811,61,3887,68,3779,57,15404
16:19:10,3927,72,3811,61,3887,68,3779,57,15404
16:19:10,3927,72,3811,61,3886,68,3778,57,15402
16:19:11,3927,72,3810,61,3886,68,3773,57,15396
16:19:11,3926,72,3810,61,3886,68,3770,57,15392
16:19:12,3926,72,3811,61,3885,68,3769,56,15391
16:19:12,3927,72,3811,61,3886,68,3770,57,15394
16:19:13,3926,72,3811,61,3886,68,3772,57,15395
16:19:13,3926,72,3810,61,3885,68,3768,56,15389
16:19:14,3926,72,3811,61,3887,68,3769,56,15393
16:19:14,3926,72,3811,61,3886,68,3775,57,15398
16:19:15,3927,72,3810,61,3887,68,3767,56,15391
16:19:15,3926,72,3810,61,3885,68,3765,56,15386
16:19:16,3926,72,3810,61,3887,68,3776,57,15399
